id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,sourceYear,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2967,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2967,Perfluoroheptanesulfonic acid,<0.0005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2968,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2968,Perfluorododecane sulfonic acid,<0.005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2969,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2969,Perfluorodecanesulfonic acid,<0.002,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2970,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2970,Perfluorobutylsulfonamide (perfluorobutane sulfonamide),<0.0005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2972,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2972,Perfluorobutanesulfonic acid,0.0023,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2973,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2973,Perfluoro-4-ethylcyclohexanesulfonic acid,<0.0005,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2975,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2975,N-methylperfluorooctanesulfonamide,<0.002,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2977,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2977,N-Ethylperfluorooctanesulfonamide,<0.002,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2981,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2981,Hexafluoropropylene oxide dimer acid (Gen X),<0.001,MICROGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/TH-PRTS0046/sample/1423375/observation/2982,TH-PRTS0046,R. THAMES U/S OF THE RUNNYMEDE CHANNEL INTAKE,-0.5101,51.4227,Thames,THAMES - WEST THAMES,Multiple Values,OPEN,FRESHWATER - RIVERS,2025-01-30T10:17:00,2025,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,2982,9-chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,<0.0005,MICROGRAM PER LITRE
